date;minimum;median;maximum;items
2021-08-29;2691.91;4302.56;6887.51;202
2021-08-30;2691.91;4302.43;6887.51;202
2021-09-01;2675.03;4285.78;6855.6;202
2021-09-02;2667.9;4270.09;6825.29;202
2021-09-03;2657.34;4251.66;6798.28;202
2021-09-04;2657.35;4253.55;6798.65;202
2021-09-05;2659.27;4256.86;6797.18;202
2021-09-06;2659.42;4256.87;6807.56;202
2021-09-07;2659.41;4256.69;6807.53;202
2021-09-08;2669.98;4273.6;6834.58;202
2021-09-09;2691.08;4307.38;6888.6;202
2021-09-10;2680.53;4290.21;6861.87;202
2021-09-11;2691.08;4305.42;6887.62;202
2021-09-12;2691.08;4306.64;6879.18;202
2021-09-13;2691.07;4307.15;6881.4;202
2021-09-14;2690.83;4311.13;6875.44;202
2021-09-15;2690.74;4310.06;6875.25;202
2021-09-16;2690.7;4308.36;6879.85;202
2021-09-17;2690.7;4308.9;6879.85;202
2021-09-18;2690.7;4308.9;6879.85;202
2021-09-19;2690.7;4308.9;6879.85;202
2021-09-20;2691.24;4308.64;6879.85;202
2021-09-21;2691.95;4303.8;6879.46;202
2021-09-22;2691.95;4309.15;6879.46;202
2021-09-23;2691.95;4312.15;6887.96;202
2021-09-24;2691.95;4311.22;6887.96;202
2021-09-25;2691.57;4311.09;6888.73;202
2021-09-26;2691.51;4310.96;6888.55;202
2021-09-27;2691.51;4310.96;6888.55;202
2021-09-28;2701.91;4327.68;6915.15;202
2021-09-29;2720.17;4359.17;6967.4;202
2021-09-30;2720.17;4359.17;6967.41;202
2021-10-01;2721.81;4357.29;6978.32;202
2021-10-02;2723.16;4353.87;6975.22;202
2021-10-03;2723.16;4353.87;6975.22;202
2021-10-04;2723.16;4356.57;6975.22;202
2021-10-05;2722.33;4355.29;6973.0;202
2021-10-06;2725.0;4356.23;6972.89;202
2021-10-07;2745.99;4388.67;7026.51;202
2021-10-08;2745.49;4388.83;7024.91;202
2021-10-10;2733.93;4371.69;6997.22;202
2021-10-10;2722.38;4354.15;6968.32;202
2021-10-11;2722.38;4350.36;6967.17;202
2021-10-12;2722.38;4350.59;6963.71;202
2021-10-13;2753.49;4402.66;7045.5;202
2021-10-14;2732.39;4368.07;6991.5;202
2021-10-15;2721.67;4351.09;6964.21;202
2021-10-17;2721.67;4350.0;6964.2;202
2021-10-17;2721.67;4350.0;6964.2;202
2021-10-18;2721.7;4350.07;6964.3;202
2021-10-19;2721.56;4349.99;6963.95;202
2021-10-20;2721.46;4348.88;6963.12;202
2021-10-21;2721.85;4349.98;6965.74;202
2021-10-22;2721.85;4349.55;6964.95;202
2021-10-23;2721.85;4349.54;6964.94;202
2021-10-24;2721.92;4347.29;6964.94;202
2021-10-25;2721.92;4348.14;6964.29;202
2021-10-26;2721.92;4348.14;6967.76;202
2021-10-27;2721.92;4348.14;6967.77;202
2021-10-28;2721.9;4348.1;6966.03;202
2021-10-29;2721.9;4348.1;6966.03;202
2021-10-30;2721.9;4348.1;6966.03;202
2021-10-31;2721.9;4348.62;6969.03;202
2021-11-01;2740.39;4369.89;6997.38;202
2021-11-02;2729.48;4351.82;6969.85;203
2021-11-03;2729.48;4351.82;6976.71;203
2021-11-04;2729.48;4353.11;6975.32;203
2021-11-05;2756.4;4399.83;7070.34;203
2021-11-06;2755.8;4409.32;7405.7;203
2021-11-07;2755.77;4408.72;7413.87;203
2021-11-08;2745.21;4392.5;7384.51;203
2021-11-09;2724.1;4358.13;7327.16;203
2021-11-10;2724.03;4356.29;7325.86;203
2021-11-11;2750.78;4396.41;7380.74;203
2021-11-12;2761.42;4412.72;7409.25;203
2021-11-13;2761.43;4411.0;7391.84;203
2021-11-14;2761.43;4411.0;7393.15;203
2021-11-15;2760.45;4412.1;7394.0;203
2021-11-16;2781.61;4445.91;7450.66;203
2021-11-17;2801.66;4478.77;7505.33;203
2021-11-18;2791.11;4461.9;7477.07;203
2021-11-19;2790.79;4458.96;7476.25;203
2021-11-20;2811.92;4493.08;7537.34;203
2021-11-21;2822.44;4509.52;7563.91;203
2021-11-22;2822.44;4509.52;7563.91;203
2021-11-23;2823.01;4508.09;7562.0;203
2021-11-24;2823.01;4508.09;7562.0;203
2021-11-25;2822.82;4508.06;7561.0;203
2021-11-26;2822.36;4507.11;7560.43;203
2021-11-27;2801.21;4473.35;7503.79;203
2021-11-28;2790.3;4454.26;7475.48;203
2021-11-29;2811.49;4488.01;7532.11;203
2021-11-30;2800.83;4470.99;7503.46;203
2021-12-01;2795.24;4456.62;7467.96;203
2021-12-02;2794.45;4455.41;7469.1;203
2021-12-03;2814.25;4487.15;7522.43;203
2021-12-04;2803.67;4470.73;7494.15;203
2021-12-05;2792.47;4451.49;7466.27;203
2021-12-06;2814.83;4482.85;7513.56;203
2021-12-07;2825.37;4499.89;7541.69;203
2021-12-08;2825.37;4499.9;7541.69;203
2021-12-09;2803.62;4466.19;7485.21;203
2021-12-10;2814.22;4483.1;7513.5;203
2021-12-11;2800.15;4469.6;7485.66;203
2021-12-12;2792.92;4454.92;7460.58;203
2021-12-13;2814.93;4487.35;7516.47;203
2021-12-14;2821.89;4502.27;7545.38;203
2021-12-15;2821.88;4501.83;7531.61;203
2021-12-16;2825.38;4501.61;7531.26;203
2021-12-17;2793.64;4452.04;7446.27;203
2021-12-18;2814.75;4487.51;7506.79;203
2021-12-19;2825.33;4504.29;7534.41;203
2021-12-20;2824.76;4503.37;7534.27;203
2021-12-21;2824.76;4507.6;7522.17;203
2021-12-22;2823.18;4506.34;7518.74;203
2021-12-23;2802.03;4477.89;7462.8;203
2021-12-24;2791.46;4461.11;7432.42;203
2021-12-25;2789.44;4462.82;7426.81;203
2021-12-26;2788.65;4462.82;7424.95;203
2021-12-27;2789.1;4462.58;7426.03;203
2021-12-28;2789.1;4462.15;7426.03;203
2021-12-29;2789.15;4462.36;7434.89;203
2021-12-30;2799.26;4480.04;7463.86;203
2021-12-31;2788.51;4463.77;7435.42;203
2022-01-01;2787.36;4459.07;7427.83;203
2022-01-02;2787.36;4454.08;7428.36;203
2022-01-03;2787.15;4453.17;7435.74;203
2022-01-04;2785.86;4454.95;7433.87;203
2022-01-05;2816.48;4503.1;7520.69;204
2022-01-06;2784.77;4452.25;7435.7;204
2022-01-07;2794.69;4470.54;7473.38;204
2022-01-08;2783.67;4450.35;7456.97;204
2022-01-09;2783.01;4446.64;7456.97;204
2022-01-10;2781.12;4445.93;7444.55;204
2022-01-11;2781.13;4445.94;7444.57;204
2022-01-12;2781.23;4445.98;7444.85;204
2022-01-13;2760.4;4416.36;7381.63;204
2022-01-14;2750.15;4394.22;7374.5;204
2022-01-15;2771.33;4428.97;7457.53;204
2022-01-16;2781.62;4449.98;7480.87;204
2022-01-17;2781.14;4441.38;7479.3;204
2022-01-18;2780.81;4443.81;7479.86;204
2022-01-19;2778.27;4446.45;7496.03;204
2022-01-20;2778.51;4446.83;7496.23;204
2022-01-21;2778.51;4447.06;7496.4;204
2022-01-22;2778.49;4447.25;7496.9;204
2022-01-23;2778.49;4447.69;7549.69;204
2022-01-24;2778.34;4446.76;7584.93;204
2022-01-25;2778.78;4446.77;7589.09;204
2022-01-26;2779.3;4446.54;7589.12;204
2022-01-27;2810.86;4507.25;7674.72;204
2022-01-28;2831.93;4541.23;7749.47;204
2022-01-29;2842.46;4556.32;7778.28;204
2022-01-30;2841.81;4555.14;7775.16;204
2022-01-31;2840.7;4552.49;7774.62;204
2022-02-01;2808.72;4498.31;7687.92;204
2022-02-02;2808.29;4497.15;7682.57;204
2022-02-03;2786.4;4462.54;7640.14;204
2022-02-04;2765.39;4428.9;7582.54;204
2022-02-05;2744.33;4395.18;7524.81;204
2022-02-06;2744.62;4394.67;7525.33;204
2022-02-07;2744.6;4395.25;7525.86;204
2022-02-08;2765.65;4428.95;7583.57;205
2022-02-09;2774.7;4443.6;7609.7;206
2022-02-10;2774.7;4443.6;7609.7;206
2022-02-11;2766.51;4427.37;7586.48;206
2022-02-12;2777.02;4444.2;7615.33;206
2022-02-13;2776.79;4445.91;7616.23;206
2022-02-14;2776.38;4447.04;7573.71;206
2022-02-15;2776.69;4444.05;7573.87;206
2022-02-16;2774.04;4472.68;7617.42;206
2022-02-17;2774.03;4472.67;7617.39;206
2022-02-18;2774.57;4479.09;7620.94;206
2022-02-19;2774.56;4480.77;7624.9;206
2022-02-20;2774.56;4480.77;7624.9;206
2022-02-21;2774.56;4480.77;7624.72;206
2022-02-22;2774.56;4480.77;7624.72;206
2022-02-23;2774.56;4480.77;7624.72;206
2022-02-24;2795.58;4514.72;7682.48;207
2022-02-25;2806.08;4531.61;7711.1;207
2022-02-26;2797.21;4519.43;7680.97;207
2022-02-27;2795.33;4518.68;7663.48;207
2022-02-28;2812.72;4548.8;7719.63;207
2022-03-01;2787.96;4507.87;7662.77;207
2022-03-02;2811.94;4546.23;7727.4;207
2022-03-03;2818.85;4556.28;7747.21;207
2022-03-04;2837.56;4586.53;7797.31;207
2022-03-05;2844.65;4605.81;7880.25;207
2022-03-06;2854.12;4620.43;7906.52;207
2022-03-07;2868.2;4645.58;7948.4;209
2022-03-08;2861.92;4659.95;7972.8;209
2022-03-09;2861.62;4659.52;7982.57;209
2022-03-10;2818.92;4590.66;7866.79;209
2022-03-11;2829.5;4607.85;7895.71;209
2022-03-12;2850.23;4642.02;7954.11;209
2022-03-13;2860.38;4658.9;7982.86;209
2022-03-14;2860.38;4658.9;7982.86;209
2022-03-15;2829.21;4612.39;7890.98;209
2022-03-16;2828.73;4615.46;7890.93;209
